tournament,city,country,date,tournament_type,discipline,round,winner,nb_sets,retired,game_1_score,game_2_score,game_3_score,team_one_player_one,team_one_player_two,team_two_player_one,team_two_player_two,team_one_player_one_nationality,team_one_player_two_nationality,team_two_player_one_nationality,team_two_player_two_nationality,team_one_total_points,team_two_total_points,team_one_most_consecutive_points,team_two_most_consecutive_points,team_one_game_points,team_two_game_points,team_one_most_consecutive_points_game_1,team_two_most_consecutive_points_game_1,team_one_game_points_game_1,team_two_game_points_game_1,game_1_scores,team_one_most_consecutive_points_game_2,team_two_most_consecutive_points_game_2,team_one_game_points_game_2,team_two_game_points_game_2,game_2_scores,team_one_most_consecutive_points_game_3,team_two_most_consecutive_points_game_3,team_one_game_points_game_3,team_two_game_points_game_3,game_3_scores
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,1,2,False,22-20,21-18,,Johanna Goliszewski,Lara Kaepplein,Supisara Paewsampran,Supisara Paewsampran,GER,GER,THA,THA,43,38,7,5,4,0,4,4,3,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '6-1', '7-1', '7-2', '8-2', '8-3', '8-4', '9-4', '9-5', '9-6', '10-6', '11-6', '12-6', '12-7', '13-7', '13-8', '14-8', '15-8', '15-9', '16-9', '16-10', '16-11', '16-12', '17-12', '17-13', '18-13', '18-14', '18-15', '18-16', '18-17', '19-17', '19-18', '20-18', '20-19', '20-20', '21-20', '22-20']",7.0,5.0,1.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '3-7', '3-8', '4-8', '5-8', '6-8', '7-8', '8-8', '9-8', '9-9', '9-10', '10-10', '10-11', '11-11', '12-11', '12-12', '12-13', '13-13', '14-13', '14-14', '14-15', '14-16', '14-17', '14-18', '15-18', '16-18', '17-18', '18-18', '19-18', '20-18', '21-18']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,2,2,False,13-21,15-21,,Ren-Ne Ong,Jia Ying Crystal Wong,Agatha Imanuela,Agatha Imanuela,SGP,SGP,INA,INA,28,42,4,3,0,3,3,3,0,2,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '3-3', '3-4', '4-4', '4-5', '4-6', '5-6', '5-7', '5-8', '5-9', '6-9', '6-10', '6-11', '7-11', '7-12', '7-13', '8-13', '8-14', '9-14', '10-14', '10-15', '10-16', '10-17', '11-17', '12-17', '12-18', '12-19', '12-20', '13-20', '13-21']",4.0,3.0,0.0,1.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '3-3', '3-4', '3-5', '3-6', '4-6', '4-7', '5-7', '5-8', '5-9', '5-10', '6-10', '6-11', '6-12', '7-12', '8-12', '9-12', '10-12', '10-13', '11-13', '11-14', '11-15', '12-15', '12-16', '13-16', '14-16', '14-17', '14-18', '15-18', '15-19', '15-20', '15-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,1,2,False,21-8,21-9,,Tsz Yau Ng,Sin Ying Yuen,Aghisna Fathkul Laili,Aghisna Fathkul Laili,HKG,HKG,INA,INA,42,17,8,2,2,0,5,1,1,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '5-1', '5-2', '6-2', '7-2', '7-3', '8-3', '9-3', '10-3', '11-3', '12-3', '12-4', '13-4', '13-5', '14-5', '14-6', '15-6', '16-6', '17-6', '17-7', '18-7', '18-8', '19-8', '20-8', '21-8']",8.0,2.0,1.0,0.0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '4-2', '5-2', '5-3', '6-3', '7-3', '8-3', '9-3', '10-3', '11-3', '12-3', '13-3', '13-4', '14-4', '14-5', '15-5', '15-6', '15-7', '16-7', '17-7', '17-8', '18-8', '18-9', '19-9', '20-9', '21-9']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,1,3,False,21-19,17-21,21-12,Aparna Balan,Sruthi K.P,Keshya Nurvita Hanadia,Keshya Nurvita Hanadia,IND,IND,INA,INA,59,52,4,3,2,4,4,3,1,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2', '4-2', '4-3', '4-4', '5-4', '5-5', '5-6', '6-6', '7-6', '8-6', '9-6', '9-7', '9-8', '10-8', '10-9', '11-9', '12-9', '13-9', '13-10', '14-10', '14-11', '14-12', '14-13', '15-13', '15-14', '16-14', '16-15', '17-15', '17-16', '17-17', '17-18', '18-18', '19-18', '19-19', '20-19', '21-19']",3.0,3.0,0.0,4.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '3-5', '3-6', '4-6', '4-7', '5-7', '5-8', '5-9', '5-10', '6-10', '6-11', '6-12', '7-12', '8-12', '8-13', '8-14', '9-14', '10-14', '10-15', '11-15', '11-16', '12-16', '12-17', '13-17', '13-18', '14-18', '14-19', '14-20', '15-20', '16-20', '17-20', '17-21']",4.0,2.0,1.0,0.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '4-4', '4-5', '5-5', '6-5', '6-6', '7-6', '8-6', '8-7', '9-7', '9-8', '10-8', '10-9', '11-9', '11-10', '12-10', '13-10', '14-10', '14-11', '15-11', '16-11', '17-11', '17-12', '18-12', '19-12', '20-12', '21-12']"
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,2,2,False,13-21,11-21,,Rawimon Iamratanamaetheekul,Supanida Katethong,Chayanit Chaladchalam,Chayanit Chaladchalam,THA,THA,THA,THA,24,42,2,5,0,2,2,4,0,1,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '2-4', '3-4', '3-5', '4-5', '4-6', '4-7', '4-8', '4-9', '5-9', '5-10', '5-11', '6-11', '6-12', '7-12', '7-13', '7-14', '7-15', '8-15', '8-16', '9-16', '9-17', '10-17', '11-17', '11-18', '11-19', '12-19', '13-19', '13-20', '13-21']",2.0,4.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '2-5', '3-5', '4-5', '4-6', '4-7', '4-8', '5-8', '5-9', '5-10', '6-10', '6-11', '7-11', '7-12', '7-13', '7-14', '7-15', '8-15', '8-16', '9-16', '9-17', '9-18', '10-18', '10-19', '11-19', '11-20', '11-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,1,2,False,21-8,21-13,,Savitree Amitrapai,Pacharapun Chochuwong,Selena Piek,Selena Piek,THA,THA,NED,NED,42,21,4,3,2,0,4,2,1,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '4-2', '5-2', '6-2', '6-3', '7-3', '8-3', '9-3', '9-4', '9-5', '10-5', '10-6', '11-6', '12-6', '13-6', '14-6', '14-7', '15-7', '16-7', '17-7', '18-7', '18-8', '19-8', '20-8', '21-8']",4.0,3.0,1.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '5-1', '5-2', '6-2', '6-3', '6-4', '6-5', '7-5', '8-5', '9-5', '10-5', '10-6', '11-6', '11-7', '11-8', '11-9', '12-9', '13-9', '13-10', '14-10', '15-10', '16-10', '16-11', '17-11', '18-11', '19-11', '19-12', '19-13', '20-13', '21-13']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,1,2,False,21-6,21-10,,Wing Yung Ng,Nga Ting Yeung,Ariel Lee,Ariel Lee,HKG,HKG,USA,USA,42,16,8,2,3,0,8,2,1,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '6-1', '7-1', '8-1', '9-1', '10-1', '11-1', '11-2', '12-2', '13-2', '13-3', '14-3', '15-3', '15-4', '15-5', '16-5', '17-5', '18-5', '19-5', '19-6', '20-6', '21-6']",5.0,2.0,2.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '5-1', '5-2', '6-2', '7-2', '7-3', '7-4', '8-4', '9-4', '10-4', '11-4', '12-4', '12-5', '12-6', '13-6', '14-6', '15-6', '16-6', '16-7', '17-7', '17-8', '18-8', '18-9', '19-9', '20-9', '20-10', '21-10']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,2,2,False,14-21,9-21,,Ploynaputh Anandechjurakun,Mattana Hemrachatanun,Setyana Mapasa,Setyana Mapasa,THA,THA,AUS,AUS,23,42,3,7,0,6,3,7,0,3,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '4-4', '4-5', '4-6', '5-6', '6-6', '7-6', '7-7', '7-8', '7-9', '7-10', '7-11', '8-11', '9-11', '9-12', '10-12', '11-12', '11-13', '12-13', '12-14', '12-15', '12-16', '12-17', '12-18', '12-19', '12-20', '13-20', '14-20', '14-21']",2.0,7.0,0.0,3.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '2-5', '3-5', '3-6', '3-7', '3-8', '3-9', '3-10', '3-11', '3-12', '4-12', '4-13', '4-14', '4-15', '5-15', '6-15', '6-16', '6-17', '6-18', '6-19', '7-19', '7-20', '8-20', '9-20', '9-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,2,2,False,20-22,12-21,,Thidarat Kleebyeesoon,Walaiphan Patimon,Benyapa Aimsaard,Benyapa Aimsaard,THA,THA,THA,THA,32,43,4,6,1,2,4,4,1,1,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '4-4', '5-4', '6-4', '6-5', '7-5', '8-5', '8-6', '9-6', '10-6', '11-6', '12-6', '12-7', '13-7', '13-8', '14-8', '14-9', '14-10', '15-10', '16-10', '16-11', '16-12', '16-13', '16-14', '17-14', '17-15', '18-15', '18-16', '18-17', '18-18', '19-18', '19-19', '20-19', '20-20', '20-21', '20-22']",3.0,4.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '1-6', '2-6', '2-7', '3-7', '4-7', '4-8', '5-8', '5-9', '5-10', '5-11', '5-12', '6-12', '6-13', '6-14', '7-14', '7-15', '8-15', '8-16', '9-16', '9-17', '10-17', '11-17', '12-17', '12-18', '12-19', '12-20', '12-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,2,2,False,11-21,18-21,,Pattaranan Chamnaktan,Natchpapha Chatupornkarnchana,Anggia Shitta Awanda,Anggia Shitta Awanda,THA,THA,INA,INA,29,42,4,5,0,4,4,5,0,1,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '2-5', '3-5', '3-6', '3-7', '3-8', '4-8', '5-8', '6-8', '7-8', '7-9', '8-9', '8-10', '8-11', '8-12', '9-12', '10-12', '10-13', '10-14', '10-15', '10-16', '11-16', '11-17', '11-18', '11-19', '11-20', '11-21']",2.0,4.0,0.0,3.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '3-3', '4-3', '4-4', '4-5', '4-6', '4-7', '5-7', '6-7', '6-8', '7-8', '7-9', '8-9', '8-10', '9-10', '10-10', '10-11', '10-12', '10-13', '11-13', '11-14', '11-15', '12-15', '12-16', '12-17', '13-17', '14-17', '14-18', '14-19', '15-19', '16-19', '16-20', '17-20', '18-20', '18-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,11-01-2018,HSBC BWF World Tour Super 300,WD,Round of 16,1,2,False,21-9,21-5,,Della Destiara Haris,Rizki Amelia Pradipta,Ruethaichanok Laisuan,Ruethaichanok Laisuan,INA,INA,THA,THA,42,14,7,2,2,0,6,2,1,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '5-1', '6-1', '6-2', '7-2', '7-3', '7-4', '8-4', '9-4', '10-4', '11-4', '12-4', '13-4', '13-5', '14-5', '14-6', '15-6', '15-7', '16-7', '17-7', '18-7', '18-8', '19-8', '19-9', '20-9', '21-9']",7.0,1.0,1.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '9-4', '10-4', '11-4', '12-4', '13-4', '14-4', '15-4', '16-4', '16-5', '17-5', '18-5', '19-5', '20-5', '21-5']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,11-01-2018,HSBC BWF World Tour Super 300,WD,Round of 16,1,3,False,21-18,15-21,21-7,Mei Kuan Chow,Meng Yean Lee,Yulfira Barkah,Yulfira Barkah,MAS,MAS,INA,INA,57,46,8,4,2,2,7,4,1,0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '3-3', '3-4', '3-5', '4-5', '4-6', '5-6', '5-7', '5-8', '6-8', '6-9', '7-9', '8-9', '9-9', '9-10', '9-11', '10-11', '10-12', '11-12', '12-12', '12-13', '12-14', '12-15', '12-16', '13-16', '14-16', '14-17', '14-18', '15-18', '16-18', '17-18', '18-18', '19-18', '20-18', '21-18']",3.0,4.0,0.0,2.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '4-2', '5-2', '5-3', '5-4', '6-4', '7-4', '7-5', '7-6', '7-7', '7-8', '8-8', '8-9', '9-9', '9-10', '10-10', '10-11', '11-11', '12-11', '12-12', '12-13', '13-13', '13-14', '13-15', '13-16', '14-16', '14-17', '14-18', '14-19', '14-20', '15-20', '15-21']",7.0,1.0,1.0,0.0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '4-2', '4-3', '5-3', '6-3', '6-4', '7-4', '8-4', '8-5', '9-5', '10-5', '10-6', '11-6', '12-6', '13-6', '14-6', '15-6', '16-6', '17-6', '17-7', '18-7', '19-7', '20-7', '21-7']"
